table_name,field_name,language,translation,record_id
stops,stop_name,ar,مدخل محطة ايواء القصيص 2,701502
stops,stop_name,ar,منطقة القصيص الصناعية 3 مسجد الصراط المستقيم 2,703502
stops,stop_name,ar,مدخل محطة ايواء القصيص 1,701501
stops,stop_name,ar,"منطقة القصيص الصناعية 3، مطحنة عتيق عبد الله 1",702501
stops,stop_name,ar,الورقاء ج 1,463501
stops,stop_name,ar,الورقاء أي 2,462502
stops,stop_name,ar,الورقاءإتش 2,461502
stops,stop_name,ar,الورقاء جي 2,460502
stops,stop_name,ar,الورقاء بناية مجموعة الصحراء 5-2,125102
stops,stop_name,ar,الورقاء برج إبراهيم 2,126502
stops,stop_name,ar,الورقاء برج منصور شرف 2,141002
stops,stop_name,ar,الورقاء المدرسة الاكاديمية الدولية 2,129502
